AI Model,Rank,Problem Recognition (25),Technical Accuracy (25),Solution Quality (20),Completeness (15),No Hallucinations (10),Documentation Usage (5),Total Score (100)
OpenAI ChatGPT 5.x-web,1,23,25,19,14,10,1,92
Kimi K2.5-Flash,2,22,23,18,12,9,0,84
Claude Sonnet 4.6,3,21,23,18,13,7,0,82
Deepseek DS-3.x,4,21,23,17,12,7,0,80
ZAI GLM-5,5,18,15,15,11,9,0,68
Google Gemini 3 Flash,6,15,10,15,8,7,0,55
Xiaomi FlashV2,7,10,10,15,8,7,0,50
Mistral,8,2,2,2,2,7,0,15

Category Averages,,,,,,,,
Average (8 models),-,16.5,16.4,13.9,10.0,8.3,0.125,65.75

Statistics,,,,,,,,
Highest Score,,,92,,,,,
Lowest Score,,,15,,,,,
Median Score,,,66.5,,,,,
Standard Deviation,,,26.3,,,,,
